# ntheta  nphi   nfp  isymm  isort
   101     72      4    2      9
# magnetic axis
# raxis       zaxis
 8.43412125E+00    1.72488992E+00
 8.39972683E+00    1.68006361E+00
 8.37203853E+00    1.63270181E+00
 8.35099191E+00    1.58329064E+00
 8.33643842E+00    1.53229509E+00
 8.32814966E+00    1.48015289E+00
 8.32582280E+00    1.42726908E+00
 8.32908707E+00    1.37401128E+00
 8.33751118E+00    1.32070570E+00
 8.35061169E+00    1.26763405E+00
 8.36786192E+00    1.21503127E+00
 8.38870160E+00    1.16308425E+00
 8.41254683E+00    1.11193139E+00
 8.43880026E+00    1.06166308E+00
 8.46686140E+00    1.01232317E+00
 8.49613686E+00    9.63911158E-01
 8.52605024E+00    9.16385317E-01
 8.55605175E+00    8.69666522E-01
 8.58562710E+00    8.23642760E-01
 8.61430586E+00    7.78174256E-01
